27.90429	55.36689	10.43076	-1.5
28.30387	55.36688	10.43077	1.5
28.50422	55.36688	10.43078	1.5
28.71398	55.36687	10.43078	2.0
29.30409	55.36686	10.43078	0.4
29.70453	55.36686	10.43079	1.5
30.10370	55.36685	10.43079	1.9
31.70437	55.36684	10.43079	3.9
32.90356	55.36683	10.43079	7.0
33.10363	55.36683	10.43080	7.8
33.50442	55.36683	10.43079	8.6
34.51448	55.36683	10.43078	8.6
34.90413	55.36682	10.43078	8.9
35.10336	55.36682	10.43077	8.9
35.70410	55.36682	10.43076	9.5
36.29382	55.36682	10.43075	9.4
36.90388	55.36682	10.43074	9.1
37.29388	55.36682	10.43073	9.0
37.70407	55.36682	10.43072	8.4
37.90389	55.36682	10.43071	8.1
38.30441	55.36682	10.43070	7.1
38.71476	55.36682	10.43069	7.2
39.30398	55.36682	10.43068	7.2
39.89383	55.36682	10.43067	6.5
40.30419	55.36682	10.43066	6.1
40.69402	55.36682	10.43065	5.6
41.10365	55.36682	10.43064	5.1
41.50396	55.36682	10.43063	4.7
41.90422	55.36682	10.43062	4.1
42.31412	55.36682	10.43061	3.7
43.10374	55.36682	10.43060	4.5
43.71435	55.36682	10.43059	4.2
44.10356	55.36682	10.43058	4.0
44.49404	55.36682	10.43057	3.8
45.09442	55.36682	10.43056	3.4
45.49381	55.36683	10.43055	3.0
45.71421	55.36683	10.43054	1.7
46.10403	55.36682	10.43054	1.4
46.69440	55.36682	10.43053	1.8
47.10408	55.36682	10.43052	0.5
47.89391	55.36682	10.43051	0.3
48.49400	55.36681	10.43051	0.8
48.70428	55.36681	10.43050	0.7
49.89422	55.36680	10.43050	2.1
50.50341	55.36680	10.43051	3.6
50.90391	55.36679	10.43050	4.5
51.10351	55.36679	10.43051	4.9
52.10404	55.36679	10.43049	5.2
52.49391	55.36678	10.43049	5.2
52.89423	55.36678	10.43048	5.3
53.71412	55.36678	10.43047	5.6
53.90401	55.36677	10.43047	5.7
54.30419	55.36677	10.43046	5.2
54.90415	55.36677	10.43045	4.9
55.49405	55.36677	10.43044	4.4
55.72402	55.36676	10.43044	4.3
56.70399	55.36676	10.43043	5.0
57.30409	55.36676	10.43042	5.0
57.49384	55.36675	10.43042	5.4
57.71445	55.36675	10.43044	8.3
58.09369	55.36675	10.43045	10.9
58.71405	55.36674	10.43045	11.9
58.90394	55.36674	10.43044	11.8
59.72412	55.36674	10.43043	12.1
60.51487	55.36674	10.43042	12.8
60.70475	55.36673	10.43042	12.9
61.10415	55.36673	10.43041	12.9
61.72426	55.36673	10.43040	12.8
62.31392	55.36673	10.43039	13.0
62.91421	55.36673	10.43038	13.2
63.50424	55.36673	10.43037	13.1
63.91451	55.36673	10.43036	13.0
64.11339	55.36672	10.43036	13.1
64.51371	55.36672	10.43035	13.1
65.10379	55.36672	10.43034	12.9
65.50438	55.36672	10.43033	12.9
66.11435	55.36672	10.43032	12.9
66.71412	55.36672	10.43031	13.2
67.32408	55.36672	10.43030	13.5
67.90439	55.36672	10.43029	13.5
68.31452	55.36672	10.43028	13.5
68.91406	55.36672	10.43027	13.4
69.51416	55.36672	10.43026	13.4
70.10395	55.36672	10.43025	13.6
70.40388	55.36671	10.43025	13.5
70.50425	55.36671	10.43024	13.5
70.91412	55.36671	10.43023	13.5
71.50397	55.36671	10.43022	13.5
72.01415	55.36671	10.43021	13.5
72.61428	55.36671	10.43020	13.4
73.11456	55.36671	10.43019	13.3
73.70401	55.36671	10.43018	13.3
74.21423	55.36671	10.43017	13.3
74.71434	55.36671	10.43016	13.3
74.81378	55.36670	10.43016	13.4
75.20429	55.36670	10.43015	13.4
75.70392	55.36670	10.43014	13.4
76.20434	55.36670	10.43013	13.5
76.91391	55.36670	10.43012	13.5
77.40444	55.36670	10.43011	13.6
78.00444	55.36670	10.43010	13.6
78.50413	55.36670	10.43009	13.6
79.00450	55.36670	10.43008	13.6
79.51465	55.36670	10.43007	13.5
80.11438	55.36670	10.43006	13.5
80.61375	55.36670	10.43005	13.4
81.11436	55.36670	10.43004	13.3
81.60450	55.36670	10.43003	13.3
82.21451	55.36670	10.43002	13.2
82.71398	55.36670	10.43001	13.2
83.40465	55.36670	10.43000	13.2
83.91432	55.36670	10.42999	13.2
84.50424	55.36670	10.42998	13.2
85.00430	55.36670	10.42997	13.2
85.60406	55.36670	10.42996	13.2
86.11429	55.36670	10.42995	13.3
86.80458	55.36670	10.42994	13.2
87.31442	55.36670	10.42993	13.2
87.90412	55.36670	10.42992	13.2
88.40431	55.36670	10.42991	13.2
88.70416	55.36669	10.42991	13.2
89.01421	55.36669	10.42990	13.2
89.61434	55.36669	10.42989	13.2
90.21445	55.36669	10.42988	13.2
90.81480	55.36669	10.42987	13.3
91.40432	55.36669	10.42986	13.3
91.90384	55.36669	10.42985	13.3
92.40429	55.36669	10.42984	13.4
92.90418	55.36669	10.42983	13.4
93.40425	55.36669	10.42982	13.4
93.90394	55.36669	10.42981	13.3
94.40443	55.36669	10.42980	13.3
94.81473	55.36669	10.42979	13.4
95.31335	55.36669	10.42978	13.4
95.81423	55.36669	10.42977	13.3
96.30449	55.36669	10.42976	13.3
96.80406	55.36669	10.42975	13.3
97.30430	55.36669	10.42974	13.2
97.80428	55.36669	10.42973	13.2
98.30428	55.36669	10.42972	13.2
98.70445	55.36669	10.42971	13.2
99.20442	55.36669	10.42970	13.2
99.71449	55.36669	10.42969	13.2
100.21397	55.36669	10.42968	13.1
100.71436	55.36669	10.42967	13.2
100.91401	55.36670	10.42967	13.2
101.21393	55.36670	10.42966	13.2
